#1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
#num|file|title|subtitle|subtitle2|year|cat|catnum|subcat|subcatnum|scripture|parable|miracle|txt|mp3|wma|rm|link|comment|synopsis|audiofirst|tooltip|indextitle|note|tag1|tag2|tag3|tag4|tag5|tag6|tag7|tag8|tag9
#1:num|2:file|3:title|4:subtitle|5:subtitle2|6:year|7:cat|8:catnum|9:subcat|10:subcatnum|11:scripture|12:parable|13:miracle|14:txt|15:mp3|16:wma|17:rm|18:link|19:comment|20:synopsis|21:audiofirst|22:tooltip|23:indextitle|24:note|25:tag1|26:tag2|27:tag3|28:tag4|29:tag5|30:tag6|31:tag7|32:tag8|33:tag9

#if an entry is missing, it is considered to be blank
#if any delimiters are missing, all entries from that point on are blank
#some entries may have embedded HTML code

003|catechetical-letter-01_2015+first-things+god-he-who-is-the-trinity|Catechetical Letter 01|First Things|God He Who Is The Trinity|2015|Catechetical Letter 01|0000||0000|||||||||||||||Catechetical Letter 01|||||||
041|full-voice_2013-12-21+joseph-was-minded-to-put-her-away-privily+never-cause-a-surrogate-to-do-what-you-will-not-do_matthew1-19|Full Voice|||2013-12-21|A Priest should speak with a full voice|0000||0000|Matthew 1:19||||mp3|||||The Gospel tells us that when Joseph was aware of the pregnancy of Mary and thought she had sinned, he wanted to divorce her secretly. If he had accused he, he would have been required to cast the first stone when she was executed. This magnanimous gesture on the part of the righteous Joseph models for us a very important principle, which, alas, we often ignore: NEVER cause a surrogate to do something you would not do. This will save us from much sin. ||The Gospel tells us that when Joseph was aware of the pregnancy of Mary and thought she had sinned, he wanted to divorce her secretly. If he had accused he, he would have been required to cast the first stone when she was executed. This magnanimous gesture on the part of the righteous Joseph models for us a very important principle, which, alas, we often ignore: NEVER cause a surrogate to do something you would not do. This will save us from much sin. |&quot;Joseph was minded to put her away privily.&quot; Never cause a surrogate to do what you will not do.||A Priest should speak with a full voice|||||||
042|full-voice_2013-12-22+prayer-for-others-is-more-important-than-anything-else-we-do+prayer-of-a-pastor|Full Voice|||2013-12-22|A Priest should speak with a full voice|0000||0000|||||mp3|||||A pastor gives lots of sermons, teaches, hears many confessions, gives counsel countless times, and many other things. The most important thing a pastor and a Christian must do: prayer. Success should never be measured. We must pray; our prayer will do those we minister to more good than all the other things we do.  Also, regarding confidence in our personal prayers and in this context, the intercessory prayer tradition in our parish. If we are not so good at praying, why should we still pray?||A pastor gives lots of sermons, teaches, hears many confessions, gives counsel countless times, and many other things. The most important thing a pastor and a Christian must do: prayer. Success should never be measured. We must pray; our prayer will do those we minister to more good than all the other things we do.  Also, regarding confidence in our personal prayers and in this context, the intercessory prayer tradition in our parish. If we are not so good at praying, why should we still pray?|Prayer for others is more important than anything else we do. The prayer of a pastor.||A Priest should speak with a full voice|||||||
043|full-voice_2013-12-23+she-that-liveth-in-pleasure-is-dead-while-she-liveth+perfection-not-pleasure-is-the-purpose-of-life_1timothy5-6|Full Voice|||2013-12-23|A Priest should speak with a full voice|0000||0000|1  Timothy 5:6|||txt|||||||||&quot;But she that liveth in pleasure is dead while she liveth.&quot; Pleasure is not the purpose of life! Perfection is the purpose of life!||A Priest should speak with a full voice|||||||
044|full-voice_2014-01-01+the-dangerous-time-after-sin-repent-do-not-just-be-sorry_matthew27-3-5|Full Voice|||2014-01-01|A Priest should speak with a full voice|0000||0000|Matthew 27:3-5||||mp3|||||Judas was sorry that he betrayed Christ (Matthew 27:3-5), but he did not repent. Repentance is more than sorrow. The time after sin is dangerous; we must learn how to turn our sorrow, shame and the bad feelings we have about ourselves into active and healing repentance. ||Judas was sorry that he betrayed Christ (Matthew 27:3-5), but he did not repent. Repentance is more than sorrow. The time after sin is dangerous; we must learn how to turn our sorrow, shame and the bad feelings we have about ourselves into active and healing repentance. |The dangerous time after sin; repent, do not just be sorry.||A Priest should speak with a full voice|||||||
045|full-voice_2014-01-03+friend-wherefore-art-thou-come+have-the-right-reason-for-everything_matthew26-49-50|Full Voice|||2014-01-03|A Priest should speak with a full voice|0000||0000|Matthew 26:49-50||||mp3|||||We must answer all questions in the Gospels, such as that of Jesus to Judas when he came to the garden to betray Him: &quot;Friend, wherefore art thou come?&quot; this question must be answered before we do anything. Too much of what we do has hidden agendas that even we are not aware of. The true Christian knows why he does everything. This is a learned skill.||We must answer all questions in the Gospels, such as that of Jesus to Judas when he came to the garden to betray Him: &quot;Friend, wherefore art thou come?&quot; this question must be answered before we do anything. Too much of what we do has hidden agendas that even we are not aware of. The true Christian knows why he does everything. This is a learned skill.|&quot;Friend, wherefore art thou come?&quot; Have the right reason for everything.||A Priest should speak with a full voice|||||||
046|full-voice_2014-01-04+nicodemus-born-again-baptism-holy-spirit-relationship-experience-incarnation-ascension-cross+sin_john3-1-21|Full Voice|||2014-01-04|A Priest should speak with a full voice|0000||0000|John 3:1-21||||mp3|||||Exegesis of John 3:1-1-21. Every catechuman should hear this exegesis and understand this Scripture. It covers everything here: being born again, Baptism, the Holy Spirit, the Incarnation, the Ascension, Relationships, the Cross. All of it we must know and understand. ||Exegesis of John 3:1-1-21, the encounter of Christ and Nicodemus. Every catechuman should hear this exegesis and understand this Scripture. It covers everything here: being born again, Baptism, the Holy Spirit, the Incarnation, the Ascension, Relationships, the Cross. All of it we must know and understand. |Everyone should undestand John Chapter 3. Exegesis of John 3:1-21: being born again, baptism, incarnatinon, Ascension,cross and more: it is in there. ||A Priest should speak with a full voice|||||||
047|full-voice_2014-01-10+open-happiness|Full Voice|||2014-01-10|A Priest should speak with a full voice|0000||0000|||||mp3|||||Coke has a billboard with the &quot;Coke bear&quot; drinking a Coke, with the words &quot;Open happiness&quot; This sums up our culture which also reaches into the the way many people approach religion and God. How do we find happiness? ||Coke has a billboard with the &quot;Coke bear&quot; drinking a Coke, with the words &quot;Open happiness&quot; This sums up our culture which also reaches into the the way many people approach religion and God. How do we find happiness? |The Coke advertisement &quot;open Happiness&quot; illustrates the approach too many have to life and religion.||A Priest should speak with a full voice|||||||
048|full-voice_2014-01-13+how-do-you-do-it+expecations-prayer|Full Voice|||2014-01-13|A Priest should speak with a full voice|0000||0000||||txt||||||||A pastoral answer to the question: &quot;How do you do it all?&quot; I yam what I yam, History, Prayer, Expectations.|A pastoral answer to the question: &quot;How do you do it all?&quot; I yam what I yam, History, Prayer, Expectations.||A Priest should speak with a full voice|||||||
049|full-voice_2014-01-14+why-so-many-cheating-songs+sex-and-union-with-god|Full Voice|||2014-01-14|A Priest should speak with a full voice|0000||0000|||||mp3|||||Why are there so many cheating songs? Why do sexually active people almost always feel getting &quot;cheated&quot; on is a bad thing? This is related to our role as creators, a God-like thing we are entrusted with from our Creator. Only some kinds of sex can help us attain union with God. ||Why are there so many cheating songs? Why do sexually active people almost always feel getting &quot;cheated&quot; on is a bad thing? This is related to our role as creators, a God-like thing we are entrusted with from our Creator. Only some kinds of sex can help us attain union with God.|Why are there so many &quot;cheating&quot; songs? There is a good reason, and it is related to the role of sex and union with God. |Length:6:13|A Priest should speak with a full voice|||||||
050|full-voice_2014-01-24+it-is-a-sin-to-be-scandalized-by-our-own-sinfulness+james-the-brother-of-the-lord-agrees|Full Voice|||2014-01-24|A Priest should speak with a full voice|0000||0000|||||mp3|||||&quot;It is a sin to be scandalized by our own sinfulness&quot; is a saying attributed to Thomas Aquinas that is wholly Orthodox, but not well understood. Let us understand this very important aspect of victorious spiritual life. James the Brother of the Lord will help us. ||&quot;It is a sin to be scandalized by our own sinfulness&quot; is a saying attributed to Thomas Aquinas that is wholly Orthodox, but not well understood. Let us understand this very important aspect of victorious spiritual life. James the Brother of the Lord will help us.|&quot;It is a sin to be scandalized by our own sinfulness.&quot; Commentary on this saying &amp; Exegesis of James 1||A Priest should speak with a full voice|||||||
051|full-voice_2014-01-28+soldiers-guarded-christ-as-they-would-a-sleeping-king+reality-and-our-perceptions_sunday-matins-sessional-hymn-tone-6|Full Voice|||2014-01-28|A Priest should speak with a full voice|0000||0000|Sunday Matins Sessional Hymn Tone 6||||mp3|||||Exegesis of Sunday Matins Sessional hymn: &quot;Life lay in the tomb, and a  seal was affixed to the stone. Soldiers guarded Christ as they would a sleeping King, and the Lord arose, invisibly smiting his enemies.&quot; Reality is always true, whether we recognize it our not. We must learn to recognize it. Also an apology for vigil.||Exegesis of Sunday Matins Sessional hymn: &quot;Life lay in the tomb, and a  seal was affixed to the stone. Soldiers guarded Christ as they would a sleeping King, and the Lord arose, invisibly smiting his enemies.&quot; Reality is always true, whether we recognize it our not. We must learn to recognize it. Also an apology for vigil.|&quot;Soldiers guarded Christ as they would a sleeping King&quot; Reality and our perceptions. Beauty and necessity of the vigil.||A Priest should speak with a full voice|||||||
052|full-voice_2014-02-08+six-meditations-on-the-hymns-of-the-publican-the-pharisee|Full Voice|Six Meditations On The Hymns Of The Publican The Pharisee||2014-02-08|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
053|full-voice_2014-03-02+triodion-hymns-for-the-sunday-of-forgiveness-the-casting-out-of-adam-from-paradise|Full Voice|Triodion Hymns For The Sunday Of Forgiveness The Casting Out Of Adam From Paradise||2014-03-02|A Priest should speak with a full voice|0000||0000|||||||||||||||A Priest should speak with a full voice|||||||
054|full-voice_2014-03-20+ye-that-eat-the-bread-of-sorrow-rouse-yourselves-after-resting_psalm126-2|Full Voice|||2014-03-20|A Priest should speak with a full voice|0000||0000|Psalm 126:2||||mp3|||||Commentary on Psalm 126:2: &quot;Ye that eat the bread of sorrow, rouse yourselves after resting&quot; True Christianity feels sorrow, which always leads to joy. People are afraid of sorrow! Do not be afraid, but cultivate good sorrow. ||Commentary on Psalm 126:2: &quot;Ye that eat the bread of sorrow, rouse yourselves after resting&quot; True Christianity feels sorrow, which always leads to joy. People are afraid of sorrow! Do not be afraid, but cultivate good sorrow. |&quot;Ye that eat the bread of sorrow, rouse yourselves after resting&quot; Do not be afraid to be sad; good sadness always brings happiness. ||A Priest should speak with a full voice|||||||
055|full-voice_2014-03-27+they-that-observe-vain-and-false-things-have-abandoned-mercy-for-themselves_biblical-ode-6-jonah2-9|Full Voice|||2014-03-27|A Priest should speak with a full voice|0000||0000|Biblical Ode 6. Jonah 2:9||||mp3|||||The Biblical Odes are used especially during Great Lent. and during weekday matins, this verse, from ode 6, is always said: &quot;They that observe vain and false things have abandoned mercy for themselves.&quot; This is one of my favorite parts of the matins service, because this pithy verse describes the reason for ALL our problems, and the simple solution. It is sobering, rebuking, but also comforting. It reminds me of the oft read scripture: &quot; For I am sure that neither death, nor life, nor angels, nor principalities, nor powers, nor things present, nor things to come, nor might,  Nor height, nor depth, nor any other creature, shall be able to separate us from the love of God which is in Christ Jesus our Lord.&quot; (Rom 8:38-39) Nothing can separate the sinner from God, except if the sinner observes vain and false things without repentance.  ||The Biblical Odes are used especially during Great Lent. and during weekday matins, this verse, from ode 6, is always said: &quot;They that observe vain and false things have abandoned mercy for themselves.&quot; This is one of my favorite parts of the matins service, because this pithy verse describes the reason for ALL our problems, and the simple solution. It is sobering, rebuking, but also comforting. It reminds me of the oft read scripture: &quot; For I am sure that neither death, nor life, nor angels, nor principalities, nor powers, nor things present, nor things to come, nor might,  Nor height, nor depth, nor any other creature, shall be able to separate us from the love of God which is in Christ Jesus our Lord.&quot; (Rom 8:38-39) Nothing can separate the sinner from God, except if the sinner observes vain and false things without repentance. |&quot;They that observe vain and false things have abandoned mercy for themselves.&quot; Sobering and comforting at the same time. ||A Priest should speak with a full voice|||||||
056|full-voice_2014-04-10+do-not-say-after-spending-a-long-time-at-prayer_ladder-of-divine-ascent-step28-29|Full Voice|Do Not Say After Spending A Long Time At Prayer||2014-04-10|A Priest should speak with a full voice|0000||0000|Ladder-Of-Divine-Ascent-Step 28-29|||txt|||||||||||A Priest should speak with a full voice|||||||
057|full-voice_2014-04-27+courage+do-something_acts5-12-20|Full Voice|||2014-04-27|A Priest should speak with a full voice|0000||0000|Acts 5:12-20||||mp3|||||This reflection is a reaction to good advice given to me after I gave a homily on Acts 5:12-20 before Matins on Saturday evening. In that homily, I stated that it takes courage to be a Christian, and that without courage you cannot be a Christian. This is an absolute statement, and is true, but is very difficult for many to bear, and must be qualified. Courage, forgiveness, chastity and many other virtues all have absolutes associated with them - some directly from the mouth of Jesus, but the reaching of these absolutes happens in stages. This reflection is meant to be an encouragement and call to arms for the weak among us - that is everyone.||This reflection is a reaction to good advice given to me after I gave a homily on Acts 5:12-20 before Matins on Saturday evening. In that homily, I stated that it takes courage to be a Christian, and that without courage you cannot be a Christian. This is an absolute statement, and is true, but is very difficult for many to bear, and must be qualified. Courage, forgiveness, chastity and many other virtues all have absolutes associated with them - some directly from the mouth of Jesus, but the reaching of these absolutes happens in stages. This reflection is meant to be an encouragement and call to arms for the weak among us - that is everyone.|Do not let the perfect be the enemey of the good. Absolutes happen in incremental steps. ||A Priest should speak with a full voice|||||||
058|full-voice_2014-04-29+hermitage-of-the-holy-cross-pilgimage+in-the-airport-scurrying-around-doctrine-groupthink|Full Voice|||2014-04-29|A Priest should speak with a full voice|0000||0000|||||mp3|||||Reflections about my Spring 2014 pilgrimage to the Hermitage of the Holy Cross. In the Airport. Delays. Scurrying around. How much do we do in life that really matters. How important is doctrine in Christianity? The Donald Sterling controversy (a NBA basketball franchise owner who was recorded making extremely racist comments) - it is more than it seems. The language used to condemn his despicable actions will be the same language that will be used to condemn true Christianity. We are witnessing groupthink. Lies are routinely told about those who believe in &quot;traditional Christian morality&quot;. Watch for it.||Reflections about my Spring 2014 pilgrimage to the Hermitage of the Holy Cross. In the Airport. Delays. Scurrying around. How much do we do in life that really matters. How important is doctrine in Christianity? The Donald Sterling controversy (a NBA basketball franchise owner who was recorded making extremely racist comments) - it is more than it seems. The language used to condemn his despicable actions will be the same language that will be used to condemn true Christianity. We are witnessing groupthink. Lies are routinely told about those who believe in &quot;traditional Christian morality&quot;. Watch for it.|Holy Cross Pilgrimage Reflections - Airport, scurrying around, doctrine, groupthink||A Priest should speak with a full voice|||||||
059|full-voice_2014-05-01+hermitage-of-the-holy-cross-pilgimage+early-services-clarity-mpoments-of-attention-change-morning-birds|Full Voice|||2014-05-01|A Priest should speak with a full voice|0000||0000|||||mp3|||||Reflections about my Spring 2014 pilgrimage to the Hermitage of the Holy Cross. Getting up at 4 am. Early Services. Perspective. Clarity for the mind. Excitement before a service begins; something is going to change and get better. Precious moments of attention. Stupid human tricks. Always expect something to change for the better. Missing stuff if a person only comes on Sunday. Morning birds. ||Reflections about my Spring 2014 pilgrimage to the Hermitage of the Holy Cross. Getting up at 4 am. Early Services. Perspective. Clarity for the mind. Excitement before a service begins; something is going to change and get better. Precious moments of attention. Stupid human tricks. Always expect something to change for the better. Missing stuff if a person only comes on Sunday. Morning birds. |Holy Cross Pilgrimage Reflections - Early morning services, excitement about changing, moments of clarity, stupid human tricks, morning birds. ||A Priest should speak with a full voice|||||||
060|full-voice_2014-05-21+bad-habits-little-changes-self-control-and-coffee|Full Voice|||2014-05-21|A Priest should speak with a full voice|0000||0000|||||mp3|||||A reflection about the benefits on changing a little thing, increased self-control and the beneficial effect this has on our bad habits, using decreasing coffee intake as a real world example. Apologies for a little road noise; I often have ideas when I am driving home from a prison visit. ||A reflection about the benefits on changing a little thing, increased self-control and the beneficial effect this has on our bad habits, using decreasing coffee intake as a real world example. Apologies for a little road noise; I often have ideas when I am driving home from a prison visit. |Bad habits, little changes, self control, and coffee||A Priest should speak with a full voice|||||||
061|full-voice_2014-07-02+prison-visit+a-miracle-happened-prison-liturgies-are-unique|Full Voice|Prison Ministry||2014-07-02|A Priest should speak with a full voice|0000||0000|||||mp3|||||A description of a prison visit to the Michael Unit, in Texas. I served liturgy, and participated in a miracle. A little discursion about  the best kinds of miracles. Also notes about how incredibly unique prison liturgies are. Grace happens, but not always neatly or according to established norms. Then a report on the celebrating priest adventures paddle boarding on the (appropriately enough) Trinity River, and a gentle invitation to be part of our humble prison ministry.||A description of a prison visit to the Michael Unit, in Texas. I served liturgy, and participated in a miracle. A little discursion about  the best kinds of miracles. Also notes about how incredibly unique prison liturgies are. Grace happens, but not always neatly or according to established norms. Then a report on the celebrating priest adventures paddle boarding on the (appropriately enough) Trinity River, and a gentle invitation to be part of our humble prison ministry.|Prison visit and Liturgy in the Michael unit: a miracle happened, then I went paddle boarding.||A Priest should speak with a full voice|||||||
062|full-voice_2014-07-17+redeeming-the-time+life-should-not-be-a-lot-of-space|Full Voice|||2014-07-17|A Priest should speak with a full voice|0000||0000|||||mp3|||||Sitting alone in my eldest daughter's house after caring for their cats, being philosophical. A few of my thoughts are summarized here. There are signs of children all around, lots of signs of life being lived. So much of our life is space. A Christian should not have space in his life. The goal of a parent should be for their child to be better than them - not more educated or &quot;successful&quot; but more holy, more whole, not broken in any way and to save their souls. I wonder how did I do? It is funny that when you are better at something, you no longer have to do it. I celebrated the liturgy today; this is the only time in my life that there are no spaces, that everything I do is worthwhile. Time is precious. We need to use it right, to redeem the time. ||Sitting alone in my eldest daughter's house after caring for their cats, being philosophical. A few of my thoughts are summarized here. There are signs of children all around, lots of signs of life being lived. So much of our life is space. A Christian should not have space in his life. The goal of a parent should be for their child to be better than them - not more educated or &quot;successful&quot; but more holy, more whole, not broken in any way and to save their souls. I wonder how did I do? It is funny that when you are better at something, you no longer have to do it. I celebrated the liturgy today; this is the only time in my life that there are no spaces, that everything I do is worthwhile. Time is precious. We need to use it right, to redeem the time. |There should be no spaces in the life of a Christian. Redeeming the time. What should we want for our children? ||A Priest should speak with a full voice|||||||
063|full-voice_2014-07-20+divine-liturgy-part-01+purpose-origin-of-liturgy-the-kingdom|Full Voice|Divine Liturgy||2014-07-20|A Priest should speak with a full voice|0000||0000|||||mp3|||||The beginning of a series on the Divine Liturgy. The greatest prayer. The purpose of liturgy. Very few understand it. The origin of Liturgy. About the Kingdom. About what being alive really means. The deepest desire of a pastor for his flock regarding the liturgy.  ||The beginning of a series on the Divine Liturgy. The greatest prayer. The purpose of liturgy. Very few understand it. The origin of Liturgy. About the Kingdom. About what being alive really means. The deepest desire of a pastor for his flock regarding the liturgy. |Divine Liturgy Part 01:The purpose &amp; origin of Liturgy, the Kingdom, stuff that makes sense and makes no sense, the deepest desire of a pastor for his flock. |Extensive Notes about the Divine Liturgy with full scriptural texts are found here in <a href='https://www.orthodox.net//full-voice/full-voice-liturgy-notes-part-01.doc'>WORD</a> or <a href='https://www.orthodox.net//full-voice/full-voice-liturgy-notes-part-01.pdf'>PDF</a> format|A Priest should speak with a full voice|||||||
064|full-voice_2014-08-02+love-yourself-is-a-lie-of-the-demons|Full Voice|||2014-08-02|A Priest should speak with a full voice|0000||0000|||||mp3|||||Common secular wisdom is that many psychological problems stem from a person not heeding the advice to &quot;love yourself&quot; Our whole culture believes this lie. Who and how should Christians love and WHY? This question is answered by understanding who God is and what love is. ||Common secular wisdom is that many psychological problems stem from a person not heeding the advice to &quot;love yourself&quot; Our whole culture believes this lie. Who and how should Christians love and WHY? This question is answered by understanding who God is and what love is. |The advice &quot;Love yourself&quot; is a lie of the demons. Love always has an onject. ||A Priest should speak with a full voice|||||||
065|full-voice_2014-08-14+commentary-on-scripture_matthew-01|Full Voice|Commentary On Scripture||2014-08-14|A Priest should speak with a full voice|0000||0000|Matthew-01|||txt|||||||||||A Priest should speak with a full voice|||||||
